   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
3245: UNIQUE_FURNITUREITEM_XMAS_BRANCH_B                               : Yuletide Wreath
3246: UNIQUE_FURNITUREITEM_XMAS_LANTERN                                : Yuletide Lantern
3247: UNIQUE_FURNITUREITEM_XMAS_PRESENT                                : Present Box
3248: UNIQUE_FURNITUREITEM_XMAS_FILL_CITY_TREE_B                       : Small Decorated Pine Tree
3249: UNIQUE_FURNITUREITEM_XMAS_FILL_CITY_TREE_A                       : Decorated Pine Tree
3250: UNIQUE_FURNITUREITEM_ADC_FROST_SNOWBALLSTACK_A
3251: UNIQUE_FURNITUREITEM_ADC_FROST_SNOWMAN                           : Frost Snowman
3252: UNIQUE_FURNITUREITEM_ADC_FROST_LANTERN_A
3253: UNIQUE_FURNITUREITEM_ADC_ICESCULPTURE_A                          : Ice Sculpture: Bonecrusher Berserker
3254: UNIQUE_FURNITUREITEM_ADC_ICESCULPTURE_B                          : Ice Sculpture: Cursed Archer
3255: UNIQUE_FURNITUREITEM_ADC_ICESCULPTURE_C                          : Ice Sculpture: Obsessed Cultist
3256: UNIQUE_FURNITUREITEM_ADC_FROST_IGLOO                             : Frost Igloo
3257: UNIQUE_FURNITUREITEM_ADC_CARNIVAL_FIREWORK_A                     : Carnival Firework
3258: UNIQUE_FURNITUREITEM_ADC_CARNIVAL_ARCHWAY_A                      : Carnival Arch
3259: UNIQUE_FURNITUREITEM_ADC_CARNIVAL_MASK_CART                      : Carnival Costume Cart
3260: UNIQUE_FURNITUREITEM_ADC_STATUE_MOUNTED_DIREWOLF_A               : Wolf Rider Statue (L)
3261: UNIQUE_FURNITUREITEM_ADC_STATUE_MOUNTED_DIREWOLF_B               : Wolf Rider Statue (R)
3262: UNIQUE_FURNITUREITEM_ADC_RUG_DIREBEAR                            : Direbear Rug
3263: UNIQUE_FURNITUREITEM_ADC_RUG_WOLF                                : Wolf Rug
3264: UNIQUE_FURNITUREITEM_KNIGHT_STATUE_A                             : Knight Statue
3265: UNIQUE_FURNITUREITEM_KNIGHT_CARPET_A                             : Regal Carpet
3266: UNIQUE_FURNITUREITEM_KNIGHT_THRONE_A                             : Stone Throne
3267: UNIQUE_FURNITUREITEM_KNIGHT_ROUNDTABLE_A                         : Round Table
3268: UNIQUE_FURNITUREITEM_ADC_STATUE_MAGE_A                           : Mage Statue
3269: UNIQUE_FURNITUREITEM_ADC_HEALING_CIRCLE_A                        : Magic Rune Circle
3270: UNIQUE_FURNITUREITEM_ADC_GLASS_SPHERE_A                          : Glass Sphere
3271: UNIQUE_FURNITUREITEM_HERETIC_BARREL_BURNING_A                    : Heretic Burning Barrel
3272: UNIQUE_FURNITUREITEM_HERETIC_LANTERN                             : Heretic Lantern
3273: UNIQUE_FURNITUREITEM_HERETIC_JUNKPILE                            : Heretic Junkpile
3274: UNIQUE_FURNITUREITEM_HERETIC_STOVE_A                             : Heretic Stove
3275: UNIQUE_FURNITUREITEM_HERETICS_TOOL_BOARD_A                       : Heretic Toolboard
3276: UNIQUE_FURNITUREITEM_HERETIC_CONSTRUCT                           : Heretic Scarecrow
3277: UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_PUMPKIN_LANTERN_A             : Scary Pumpkin Lantern
3278: UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_PUMPKIN_LANTERN_B             : Friendly Pumpkin Lantern
3279: UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_TREE_LANTERN_A                : Halloween Lantern
3280: UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_CAULDRON_A                    : Halloween Cauldron
3281: UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_SCARECROW_A                   : Halloween Scarecrow
3282: UNIQUE_FURNITUREITEM_ADC_HALLOWEEN_SCARECROW_PYRE_A              : Halloween Pyre
3283: UNIQUE_FURNITUREITEM_OLD_OUTLAND_CARPET                          : Outlands Map Carpet
3284: UNIQUE_FURNITUREITEM_SEALED_CAERLEON_REALMGATE                   : Caerleon Realmgate
3285: UNIQUE_ALTAR_OF_CHEATING
3286: UNIQUE_FURNITUREITEM_VICTORY_TROPHY                              : Skull of $craftedby
3287: UNIQUE_INGREDIENT_ANCHOR_FOUNDER_LEGENDARY                       : Explorer's Anchor
3288: UNIQUE_FURNITUREITEM_FOUNDER_LOOKINGGLASS                        : Explorer's Spyglass
3289: UNIQUE_FURNITUREITEM_FOUNDER_CERTIFICATE                         : Founder's Certificate
3290: UNIQUE_FURNITUREITEM_FOUNDER_STATUE                              : Founder's Statue
3291: UNIQUE_SHOES_RUBBERBANDING                                       : Rubberband Boots
3292: UNIQUE_HEAD_VANITY_FOUNDER_ASIA_CRYSTAL                          : Sea Captain's Hat
3293: UNIQUE_ARMOR_VANITY_FOUNDER_ASIA_CRYSTAL                         : Sea Captain's Coat
3294: UNIQUE_SHOES_VANITY_FOUNDER_ASIA_CRYSTAL                         : Sea Captain's Boots
3295: UNIQUE_CAPE_VANITY_FOUNDER_ASIA_CRYSTAL                          : Sea Captain's Spyglass
3296: SKIN_HORSE_FOUNDER_ASIA_CRYSTAL                                  : Sea Captain's Horse
3297: UNIQUE_UNLOCK_CAPE_VANITY_FOUNDER_ASIA_CRYSTAL                   : Wardrobe Skin: Sea Captain's Spyglass
3298: UNIQUE_UNLOCK_HEAD_VANITY_FOUNDER_ASIA_CRYSTAL                   : Wardrobe Skin: Sea Captain's Hat
3299: UNIQUE_UNLOCK_ARMOR_VANITY_FOUNDER_ASIA_CRYSTAL                  : Wardrobe Skin: Sea Captain's Coat
3300: UNIQUE_UNLOCK_SHOES_VANITY_FOUNDER_ASIA_CRYSTAL                  : Wardrobe Skin: Sea Captain's Boots
3301: UNIQUE_UNLOCK_SKIN_HORSE_FOUNDER_ASIA_CRYSTAL                    : Riding Horse Skin: Sea Captain's Horse
3302: UNIQUE_FURNITUREITEM_ASIA_FOUNDER_CERTIFICATE_CRYSTAL            : Crystal Founder's Certificate
3303: UNIQUE_FURNITUREITEM_ASIA_FOUNDER_STATUE_CRYSTAL                 : Crystal Founder's Statue
3304: UNIQUE_HEAD_VANITY_FOUNDER_ASIA_GOLD                             : Seafarer's Bandana
3305: UNIQUE_ARMOR_VANITY_FOUNDER_ASIA_GOLD                            : Seafarer's Coat
3306: UNIQUE_SHOES_VANITY_FOUNDER_ASIA_GOLD                            : Seafarer's Boots
3307: UNIQUE_CAPE_VANITY_FOUNDER_ASIA_GOLD                             : Seafarer's Harpoon
3308: SKIN_HORSE_FOUNDER_ASIA_GOLD                                     : Seafarer's Horse
3309: UNIQUE_UNLOCK_CAPE_VANITY_FOUNDER_ASIA_GOLD                      : Wardrobe Skin: Seafarer's Harpoon
3310: UNIQUE_UNLOCK_HEAD_VANITY_FOUNDER_ASIA_GOLD                      : Wardrobe Skin: Seafarer's Bandana
3311: UNIQUE_UNLOCK_ARMOR_VANITY_FOUNDER_ASIA_GOLD                     : Wardrobe Skin: Seafarer's Coat
3312: UNIQUE_UNLOCK_SHOES_VANITY_FOUNDER_ASIA_GOLD                     : Wardrobe Skin: Seafarer's Boots
3313: UNIQUE_UNLOCK_SKIN_HORSE_FOUNDER_ASIA_GOLD                       : Riding Horse Skin: Seafarer's Horse
3314: UNIQUE_FURNITUREITEM_ASIA_FOUNDER_CERTIFICATE_GOLD               : Gold Founder's Certificate
3315: SKIN_HORSE_FOUNDER_ASIA_SILVER                                   : Sailor's Horse
3316: UNIQUE_UNLOCK_SKIN_HORSE_FOUNDER_ASIA_SILVER                     : Riding Horse Skin: Sailor's Horse
3317: UNIQUE_FURNITUREITEM_ASIA_FOUNDER_CERTIFICATE_SILVER             : Silver Founder's Certificate
3318: UNIQUE_FURNITUREITEM_ASIA_FOUNDER_CERTIFICATE_BRONZE             : Bronze Founder's Certificate
3319: UNIQUE_FURNITUREITEM_BETAREWARD_PVE_GOLD                         : Gold Monster Slayer Statue
3320: UNIQUE_FURNITUREITEM_BETAREWARD_PVE_SILVER                       : Silver Monster Slayer Statue
3321: UNIQUE_FURNITUREITEM_BETAREWARD_PVE_BRONZE                       : Bronze Monster Slayer Statue
3322: UNIQUE_FURNITUREITEM_BETAREWARD_GATHERING_GOLD                   : Gold Gathering Statue
3323: UNIQUE_FURNITUREITEM_BETAREWARD_GATHERING_SILVER                 : Silver Gathering Statue
3324: UNIQUE_FURNITUREITEM_BETAREWARD_GATHERING_BRONZE                 : Bronze Gathering Statue
3325: UNIQUE_FURNITUREITEM_BETAREWARD_SILVER_GOLD                      : Gold Trader Statue
3326: UNIQUE_FURNITUREITEM_BETAREWARD_SILVER_SILVER                    : Silver Trader Statue
3327: UNIQUE_FURNITUREITEM_BETAREWARD_SILVER_BRONZE                    : Bronze Trader Statue
3328: UNIQUE_HEAD_VANITY_WARRIOR_KING                                  : Paragon's Crown
3329: UNIQUE_ARMOR_VANITY_WARRIOR_KING                                 : Paragon's Armor
3330: UNIQUE_SHOES_VANITY_WARRIOR_KING                                 : Paragon's Boots
3331: UNIQUE_CAPE_VANITY_WARRIOR_KING                                  : Paragon's Sword and Cape
3332: SKIN_ARMORED_HORSE_PEGASUS_LIGHT                                 : Armored Pegasus
3333: UNIQUE_UNLOCK_HEAD_VANITY_WARRIOR_KING                           : Wardrobe Skin: Paragon's Crown
3334: UNIQUE_UNLOCK_ARMOR_VANITY_WARRIOR_KING                          : Wardrobe Skin: Paragon's Armor
3335: UNIQUE_UNLOCK_SHOES_VANITY_WARRIOR_KING                          : Wardrobe Skin: Paragon's Boots
3336: UNIQUE_UNLOCK_CAPE_VANITY_WARRIOR_KING                           : Wardrobe Skin: Paragon's Sword and Cape
3337: UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_PEGASUS_LIGHT                   : Armored Horse Skin: Armored Pegasus
3338: UNIQUE_HEAD_VANITY_WARRIOR_KNIGHT                                : Champion's Visage
3339: UNIQUE_ARMOR_VANITY_WARRIOR_KNIGHT                               : Champion's Armor
3340: UNIQUE_SHOES_VANITY_WARRIOR_KNIGHT                               : Champion's Boots
3341: UNIQUE_CAPE_VANITY_WARRIOR_KNIGHT                                : Champion's Sword and Cape
3342: UNIQUE_UNLOCK_HEAD_VANITY_WARRIOR_KNIGHT                         : Wardrobe Skin: Champion's Visage
3343: UNIQUE_UNLOCK_ARMOR_VANITY_WARRIOR_KNIGHT                        : Wardrobe Skin: Champion's Armor
3344: UNIQUE_UNLOCK_SHOES_VANITY_WARRIOR_KNIGHT                        : Wardrobe Skin: Champion's Boots
3345: UNIQUE_UNLOCK_CAPE_VANITY_WARRIOR_KNIGHT                         : Wardrobe Skin: Champion's Sword and Cape
3346: SKIN_HORSE_PEGASUS_LIGHT                                         : Pegasus
3347: UNIQUE_UNLOCK_SKIN_HORSE_PEGASUS_LIGHT                           : Riding Horse Skin: Pegasus
3348: UNIQUE_HEAD_VANITY_DARK_SORCERER                                 : Harbinger's Crown
3349: UNIQUE_ARMOR_VANITY_DARK_SORCERER                                : Harbinger's Robes
3350: UNIQUE_SHOES_VANITY_DARK_SORCERER                                : Harbinger's Boots
3351: UNIQUE_CAPE_VANITY_DARK_SORCERER                                 : Harbinger's Staff and Cape
3352: SKIN_ARMORED_HORSE_PEGASUS_DARK                                  : Armored Shadow Pegasus
3353: UNIQUE_UNLOCK_HEAD_VANITY_DARK_SORCERER                          : Wardrobe Skin: Harbinger's Crown
3354: UNIQUE_UNLOCK_ARMOR_VANITY_DARK_SORCERER                         : Wardrobe Skin: Harbinger's Robes
3355: UNIQUE_UNLOCK_SHOES_VANITY_DARK_SORCERER                         : Wardrobe Skin: Harbinger's Boots
3356: UNIQUE_UNLOCK_CAPE_VANITY_DARK_SORCERER                          : Wardrobe Skin: Harbinger's Staff and Cape
3357: UNIQUE_UNLOCK_SKIN_ARMORED_HORSE_PEGASUS_DARK                    : Armored Horse Skin: Armored Shadow Pegasus
3358: UNIQUE_HEAD_VANITY_DARK_NOVICE                                   : Warlock's Circlet
3359: UNIQUE_ARMOR_VANITY_DARK_NOVICE                                  : Warlock's Robes
3360: UNIQUE_SHOES_VANITY_DARK_NOVICE                                  : Warlock's Boots
3361: UNIQUE_CAPE_VANITY_DARK_NOVICE                                   : Warlock's Staff and Cape
3362: UNIQUE_UNLOCK_HEAD_VANITY_DARK_NOVICE                            : Wardrobe Skin: Warlock's Circlet
3363: UNIQUE_UNLOCK_ARMOR_VANITY_DARK_NOVICE                           : Wardrobe Skin: Warlock's Robes
3364: UNIQUE_UNLOCK_SHOES_VANITY_DARK_NOVICE                           : Wardrobe Skin: Warlock's Boots
3365: UNIQUE_UNLOCK_CAPE_VANITY_DARK_NOVICE                            : Wardrobe Skin: Warlock's Staff and Cape
3366: SKIN_HORSE_PEGASUS_DARK                                          : Shadow Pegasus
3367: UNIQUE_UNLOCK_SKIN_HORSE_PEGASUS_DARK                            : Riding Horse Skin: Shadow Pegasus
3368: UNIQUE_FURNITUREITEM_LIGHT_FOUNDER_CERTIFICATE                   : Light Founder's Certificate
3369: UNIQUE_FURNITUREITEM_DARK_FOUNDER_CERTIFICATE                    : Dark Founder's Certificate
3370: UNIQUE_FURNITUREITEM_LIGHT_FOUNDER_STATUE                        : Light Founder's Statue
3371: UNIQUE_FURNITUREITEM_DARK_FOUNDER_STATUE                         : Dark Founder's Statue
3372: SKIN_ARMORED_HORSE_PEGASUS_TWILIGHT                              : Armored Goldmane Pegasus
3373: SKIN_HORSE_PEGASUS_TWILIGHT                                      : Goldmane Pegasus
3374: UNIQUE_INTERNAL_HEAD_GAMEMASTER                                  : Game Master's Hat
3375: UNIQUE_INTERNAL_ARMOR_GAMEMASTER                                 : Game Master's Doublet
3376: UNIQUE_INTERNAL_SHOES_GAMEMASTER                                 : Game Master's Boots
3377: UNIQUE_INTERNAL_OFF_SCROLL_GAMEMASTER                            : Scroll of the Law
3378: SKIN_HORSE_PEGASUS_TWILIGHT                                      : Goldmane Pegasus
3379: UNIQUE_INTERNAL_HEAD_GAMEMASTER                                  : Game Master's Hat
3380: UNIQUE_INTERNAL_ARMOR_GAMEMASTER                                 : Game Master's Doublet
3381: UNIQUE_INTERNAL_SHOES_GAMEMASTER                                 : Game Master's Boots
3382: SKIN_HORSE_PEGASUS_TWILIGHT1111                                      : Goldmane Pegasus3381
3383: UNIQUE_INTERNAL_HEAD_GAMEMASTER1111                                  : Game Master's Ha3382t
3384: UNIQUE_INTERNAL_ARMOR_GAMEMASTER1111                                 : Game Master's Do3383ublet
3385: UNIQUE_INTERNAL_SHOES_GAMEMASTER1111                                 : Game Master's Bo3384ots
3386: T2_HEAD_PLATE_SET1                                               : Novice's Soldier Hel3385met
3387: T3_HEAD_PLATE_SET1                                               : Journeyman's Soldier3386 Helmet
3388: T4_HEAD_PLATE_SET1                                               : Adept's Soldier Helm3387et
3389: T4_HEAD_PLATE_SET1@1                                             : Adept's Soldier Helm3388et
3390: T4_HEAD_PLATE_SET1@2                                             : Adept's Soldier Helm3389et
3391: T4_HEAD_PLATE_SET1@3                                             : Adept's Soldier Helm3390et
3392: T4_HEAD_PLATE_SET1@4                                             : Adept's Soldier Helm3391et
3393: T5_HEAD_PLATE_SET1                                               : Expert's Soldier Hel3392met
3394: T5_HEAD_PLATE_SET1@1                                             : Expert's Soldier Hel3393met
3395: T5_HEAD_PLATE_SET1@2                                             : Expert's Soldier Hel3394met
3396: T5_HEAD_PLATE_SET1@3                                             : Expert's Soldier Hel3395met
3397: T5_HEAD_PLATE_SET1@4                                             : Expert's Soldier Hel3396met
3398: T6_HEAD_PLATE_SET1                                               : Master's Soldier Hel3397met
3399: T6_HEAD_PLATE_SET1@1                                             : Master's Soldier Hel3398met
3400: T6_HEAD_PLATE_SET1@2                                             : Master's Soldier Hel3399met
3401: T6_HEAD_PLATE_SET1@3                                             : Master's Soldier Hel3400met
3402: T6_HEAD_PLATE_SET1@4                                             : Master's Soldier Hel3401met
3403: T7_HEAD_PLATE_SET1                                               : Grandmaster's Soldie3402r Helmet
3404: T7_HEAD_PLATE_SET1@1                                             : Grandmaster's Soldie3403r Helmet
3405: T7_HEAD_PLATE_SET1@2                                             : Grandmaster's Soldie3404r Helmet
3406: T7_HEAD_PLATE_SET1@3                                             : Grandmaster's Soldie3405r Helmet
3407: T7_HEAD_PLATE_SET1@4                                             : Grandmaster's Soldie3406r Helmet
3408: T8_HEAD_PLATE_SET1                                               : Elder's Soldier Helm3407et
3409: T8_HEAD_PLATE_SET1@1                                             : Elder's Soldier Helm3408et
3410: T8_HEAD_PLATE_SET1@2                                             : Elder's Soldier Helm3409et
3411: T8_HEAD_PLATE_SET1@3                                             : Elder's Soldier Helm3410et
3412: T8_HEAD_PLATE_SET1@4                                             : Elder's Soldier Helm3411et
3413: T2_ARMOR_PLATE_SET1                                              : Novice's Soldier Arm3412or
3414: T3_ARMOR_PLATE_SET1                                              : Journeyman's Soldier3413 Armor
3415: T4_ARMOR_PLATE_SET1                                              : Adept's Soldier Armo3414r
3416: T4_ARMOR_PLATE_SET1@1                                            : Adept's Soldier Armo3415r
3417: T4_ARMOR_PLATE_SET1@2                                            : Adept's Soldier Armo3416r
3418: T4_ARMOR_PLATE_SET1@3                                            : Adept's Soldier Armo3417r
3419: T4_ARMOR_PLATE_SET1@4                                            : Adept's Soldier Armo3418r
3420: T5_ARMOR_PLATE_SET1                                              : Expert's Soldier Arm3419or
3421: T5_ARMOR_PLATE_SET1@1                                            : Expert's Soldier Arm3420or
3422: T5_ARMOR_PLATE_SET1@2                                            : Expert's Soldier Arm3421or
3423: T5_ARMOR_PLATE_SET1@3                                            : Expert's Soldier Arm3422or
3424: T5_ARMOR_PLATE_SET1@4                                            : Expert's Soldier Arm3423or
3425: T6_ARMOR_PLATE_SET1                                              : Master's Soldier Arm3424or
3426: T6_ARMOR_PLATE_SET1@1                                            : Master's Soldier Arm3425or
3427: T6_ARMOR_PLATE_SET1@2                                            : Master's Soldier Arm3426or
3428: T6_ARMOR_PLATE_SET1@3                                            : Master's Soldier Arm3427or
3429: T6_ARMOR_PLATE_SET1@4                                            : Master's Soldier Arm3428or
3430: T7_ARMOR_PLATE_SET1                                              : Grandmaster's Soldie3429r Armor
3431: T7_ARMOR_PLATE_SET1@1                                            : Grandmaster's Soldie3430r Armor
3432: T7_ARMOR_PLATE_SET1@2                                            : Grandmaster's Soldie3431r Armor
3433: T7_ARMOR_PLATE_SET1@3                                            : Grandmaster's Soldie3432r Armor
3434: T7_ARMOR_PLATE_SET1@4                                            : Grandmaster's Soldie3433r Armor
3435: T8_ARMOR_PLATE_SET1                                              : Elder's Soldier Armo3434r
3436: T8_ARMOR_PLATE_SET1@1                                            : Elder's Soldier Armo3435r
3437: T8_ARMOR_PLATE_SET1@2                                            : Elder's Soldier Armo3436r
3438: T8_ARMOR_PLATE_SET1@3                                            : Elder's Soldier Armo3437r
3439: T8_ARMOR_PLATE_SET1@4                                            : Elder's Soldier Armo3438r
3440: T2_SHOES_PLATE_SET1                                              : Novice's Soldier Boo3439ts
3441: T3_SHOES_PLATE_SET1                                              : Journeyman's Soldier3440 Boots
3442: T4_SHOES_PLATE_SET1                                              : Adept's Soldier Boot3441s
3443: T4_SHOES_PLATE_SET1@1                                            : Adept's Soldier Boot3442s
3444: T4_SHOES_PLATE_SET1@2                                            : Adept's Soldier Boot3443s
3445: T4_SHOES_PLATE_SET1@3                                            : Adept's Soldier Boot3444s
3446: T4_SHOES_PLATE_SET1@4                                            : Adept's Soldier Boot3445s
3447: T5_SHOES_PLATE_SET1                                              : Expert's Soldier Boo3446ts
3448: T5_SHOES_PLATE_SET1@1                                            : Expert's Soldier Boo3447ts
3449: T5_SHOES_PLATE_SET1@2                                            : Expert's Soldier Boo3448ts
3450: T5_SHOES_PLATE_SET1@3                                            : Expert's Soldier Boo3449ts
3451: T5_SHOES_PLATE_SET1@4                                            : Expert's Soldier Boo3450ts
3452: T6_SHOES_PLATE_SET1                                              : Master's Soldier Boo3451ts
3453: T6_SHOES_PLATE_SET1@1                                            : Master's Soldier Boo3452ts
3454: T6_SHOES_PLATE_SET1@2                                            : Master's Soldier Boo3453ts
3455: T6_SHOES_PLATE_SET1@3                                            : Master's Soldier Boo3454ts
3456: T6_SHOES_PLATE_SET1@4                                            : Master's Soldier Boo3455ts
3457: T7_SHOES_PLATE_SET1                                              : Grandmaster's Soldie3456r Boots
3458: T7_SHOES_PLATE_SET1@1                                            : Grandmaster's Soldie3457r Boots
3459: T7_SHOES_PLATE_SET1@2                                            : Grandmaster's Soldie3458r Boots
3460: T7_SHOES_PLATE_SET1@3                                            : Grandmaster's Soldie3459r Boots
3461: T7_SHOES_PLATE_SET1@4                                            : Grandmaster's Soldie3460r Boots
3462: T8_SHOES_PLATE_SET1                                              : Elder's Soldier Boot3461s
3463: T8_SHOES_PLATE_SET1@1                                            : Elder's Soldier Boot3462s
3464: T8_SHOES_PLATE_SET1@2                                            : Elder's Soldier Boot3463s
3465: T8_SHOES_PLATE_SET1@3                                            : Elder's Soldier Boot3464s
3466: T8_SHOES_PLATE_SET1@4                                            : Elder's Soldier Boot3465s
3467: T4_HEAD_PLATE_SET2                                               : Adept's Knight Helme3466t
3468: T4_HEAD_PLATE_SET2@1                                             : Adept's Knight Helme3467t
3469: T4_HEAD_PLATE_SET2@2                                             : Adept's Knight Helme3468t
3470: T4_HEAD_PLATE_SET2@3                                             : Adept's Knight Helme3469t
3471: T4_HEAD_PLATE_SET2@4                                             : Adept's Knight Helme3470t
3472: T5_HEAD_PLATE_SET2                                               : Expert's Knight Helm3471et
3473: T5_HEAD_PLATE_SET2@1                                             : Expert's Knight Helm3472et
3474: T5_HEAD_PLATE_SET2@2                                             : Expert's Knight Helm3473et
3475: T5_HEAD_PLATE_SET2@3                                             : Expert's Knight Helm3474et
3476: T5_HEAD_PLATE_SET2@4                                             : Expert's Knight Helm3475et
3477: T6_HEAD_PLATE_SET2                                               : Master's Knight Helm3476et
3478: T6_HEAD_PLATE_SET2@1                                             : Master's Knight Helm3477et
3479: T6_HEAD_PLATE_SET2@2                                             : Master's Knight Helm3478et
3480: T6_HEAD_PLATE_SET2@3                                             : Master's Knight Helm3479et
3481: T6_HEAD_PLATE_SET2@4                                             : Master's Knight Helm3480et
3482: T7_HEAD_PLATE_SET2                                               : Grandmaster's Knight3481 Helmet
3483: T7_HEAD_PLATE_SET2@1                                             : Grandmaster's Knight3482 Helmet
3484: T7_HEAD_PLATE_SET2@2                                             : Grandmaster's Knight3483 Helmet
3485: T7_HEAD_PLATE_SET2@3                                             : Grandmaster's Knight3484 Helmet
3486: T7_HEAD_PLATE_SET2@4                                             : Grandmaster's Knight3485 Helmet
3487: T8_HEAD_PLATE_SET2                                               : Elder's Knight Helme3486t
3488: T8_HEAD_PLATE_SET2@1                                             : Elder's Knight Helme3487t
3489: T8_HEAD_PLATE_SET2@2                                             : Elder's Knight Helme3488t
3490: T8_HEAD_PLATE_SET2@3                                             : Elder's Knight Helme3489t
3491: T8_HEAD_PLATE_SET2@4                                             : Elder's Knight Helme3490t
3492: T4_ARMOR_PLATE_SET2                                              : Adept's Knight Armor3491
3493: T4_ARMOR_PLATE_SET2@1                                            : Adept's Knight Armor3492
3494: T4_ARMOR_PLATE_SET2@2                                            : Adept's Knight Armor3493
3495: T4_ARMOR_PLATE_SET2@3                                            : Adept's Knight Armor3494
3496: T4_ARMOR_PLATE_SET2@4                                            : Adept's Knight Armor3495
3497: T5_ARMOR_PLATE_SET2                                              : Expert's Knight Armo3496r
3498: T5_ARMOR_PLATE_SET2@1                                            : Expert's Knight Armo3497r
3499: T5_ARMOR_PLATE_SET2@2                                            : Expert's Knight Armo3498r
3500: T5_ARMOR_PLATE_SET2@3                                            : Expert's Knight Armo3499r
3501: T5_ARMOR_PLATE_SET2@4                                            : Expert's Knight Armo3500r
3502: T6_ARMOR_PLATE_SET2                                              : Master's Knight Armo3501r
3503: T6_ARMOR_PLATE_SET2@1                                            : Master's Knight Armo3502r
3504: T6_ARMOR_PLATE_SET2@2                                            : Master's Knight Armo3503r
3505: T6_ARMOR_PLATE_SET2@3                                            : Master's Knight Armo3504r
3506: T6_ARMOR_PLATE_SET2@4                                            : Master's Knight Armo3505r
3507: T7_ARMOR_PLATE_SET2                                              : Grandmaster's Knight3506 Armor
3508: T7_ARMOR_PLATE_SET2@1                                            : Grandmaster's Knight3507 Armor
3509: T7_ARMOR_PLATE_SET2@2                                            : Grandmaster's Knight3508 Armor
3510: T7_ARMOR_PLATE_SET2@3                                            : Grandmaster's Knight3509 Armor
3511: T7_ARMOR_PLATE_SET2@4                                            : Grandmaster's Knight3510 Armor
3512: T8_ARMOR_PLATE_SET2                                              : Elder's Knight Armor3511
3513: T8_ARMOR_PLATE_SET2@1                                            : Elder's Knight Armor3512
3514: T8_ARMOR_PLATE_SET2@2                                            : Elder's Knight Armor3513
3515: T8_ARMOR_PLATE_SET2@3                                            : Elder's Knight Armor3514
3516: T8_ARMOR_PLATE_SET2@4                                            : Elder's Knight Armor3515
3517: T4_SHOES_PLATE_SET2                                              : Adept's Knight Boots3516
3518: T4_SHOES_PLATE_SET2@1                                            : Adept's Knight Boots3517
3519: T4_SHOES_PLATE_SET2@2                                            : Adept's Knight Boots3518
3520: T4_SHOES_PLATE_SET2@3                                            : Adept's Knight Boots3519
3521: T4_SHOES_PLATE_SET2@4                                            : Adept's Knight Boots3520
3522: T5_SHOES_PLATE_SET2                                              : Expert's Knight Boot3521s
3523: T5_SHOES_PLATE_SET2@1                                            : Expert's Knight Boot3522s
3524: T5_SHOES_PLATE_SET2@2                                            : Expert's Knight Boot3523s
3525: T5_SHOES_PLATE_SET2@3                                            : Expert's Knight Boot3524s
3526: T5_SHOES_PLATE_SET2@4                                            : Expert's Knight Boot3525s
3527: T6_SHOES_PLATE_SET2                                              : Master's Knight Boot3526s
3528: T6_SHOES_PLATE_SET2@1                                            : Master's Knight Boot3527s
3529: T6_SHOES_PLATE_SET2@2                                            : Master's Knight Boot3528s
3530: T6_SHOES_PLATE_SET2@3                                            : Master's Knight Boot3529s
3531: T6_SHOES_PLATE_SET2@4                                            : Master's Knight Boot3530s
3532: T7_SHOES_PLATE_SET2                                              : Grandmaster's Knight3531 Boots
3533: T7_SHOES_PLATE_SET2@1                                            : Grandmaster's Knight3532 Boots
3534: T7_SHOES_PLATE_SET2@2                                            : Grandmaster's Knight3533 Boots
3535: T7_SHOES_PLATE_SET2@3                                            : Grandmaster's Knight3534 Boots
3536: T7_SHOES_PLATE_SET2@4                                            : Grandmaster's Knight3535 Boots
3537: T8_SHOES_PLATE_SET2                                              : Elder's Knight Boots3536
3538: T8_SHOES_PLATE_SET2@1                                            : Elder's Knight Boots3537
3539: T8_SHOES_PLATE_SET2@2                                            : Elder's Knight Boots3538
3540: T8_SHOES_PLATE_SET2@3                                            : Elder's Knight Boots3539
3541: T8_SHOES_PLATE_SET2@4                                            : Elder's Knight Boots3540
3542: T4_HEAD_PLATE_SET3                                               : Adept's Guardian Hel3541met
3543: T4_HEAD_PLATE_SET3@1                                             : Adept's Guardian Hel3542met
3544: T4_HEAD_PLATE_SET3@2                                             : Adept's Guardian Hel3543met
3545: T4_HEAD_PLATE_SET3@3                                             : Adept's Guardian Hel3544met
3546: T4_HEAD_PLATE_SET3@4                                             : Adept's Guardian Hel3545met
3547: T5_HEAD_PLATE_SET3                                               : Expert's Guardian He3546lmet
3548: T5_HEAD_PLATE_SET3@1                                             : Expert's Guardian He3547lmet
3549: T5_HEAD_PLATE_SET3@2                                             : Expert's Guardian He3548lmet
3550: T5_HEAD_PLATE_SET3@3                                             : Expert's Guardian He3549lmet
3551: T5_HEAD_PLATE_SET3@4                                             : Expert's Guardian He3550lmet
3552: T6_HEAD_PLATE_SET3                                               : Master's Guardian He3551lmet
